timestamp,speaker,words,tags,highlight,timelink
[0:00],Josefina Contreras Cardenas,"Josefina Contreras Cardenas, Josefina, it's J, O, S, E, F, I N, A Contreras is, C, O N, T, R, E R, A, S, Cardenas, C, A, R, D, E N, A S.",,,0
,Aengus Anderson,"I just like to ask, Where and when were you born?",,,
,JCC,"In 1960. It's gonna be my birthday this by the end of this month, all right? And it was mom and dad lived in Barrio Santa Cruz now, but it used to all be together Barrio Kroeger Lane, okay? And then when Dad and Mom had their own place, it's a little rancheria on the other side of the river in Cottonwood Lane. And there's where I was raised and I met my husband, so I jumped the river again to Barrio Kroeger Lane, and there's where we have raised our children and now our grandchildren.",,,
,AA,"Okay, cotton, I was just doing an oral history about Cottonwood Lane with the Russell family.",,,
,JCC,"Oh, awesome. So one of our was it with David?",,,
,AA,"It was with David, yeah.",,,
,JCC,"Yes, yes. He's awesome. His his mama, Miss Jean Russell, is neighbors to my dad and mom when I was raised.",,,
,AA,Okay.,,,
,JCC,"So my outing was to to go through our wooden fence and go to their side of their property. And that's where the acequias flowed, and they always have, I don't know anymore they do, but um, bamboo.",,,
,AA,Yes.,,,
,JCC,"Carrizo, so that and dad had chickens to go all over, so my rest time would be to go on that side. See the acequias flow, see the chicken, roosters of all colors, and eat ice cream, because I would steal it. But not really steal it. I would take it, no, from señor Price. He would store, he lived on the ranches across from the river and and he would store ice cream there for his, his farm, of of, of hogs.",,,
,AA,This is fabulous.,,,
,JCC,"And he and so the ice cream would be for those, those his stock.",,,
,AA,You were stealing ice cream from pigs?,,,
,JCC,"So when, when I was and I couldn't speak, my mom would say, Josefina, you took the ice cream again.",,,
,AA,"This is great. Well, tell me more about Cottonwood Lane. I've been so interested. What did it look like then in the mid, I guess we're probably talking about mid 1960s.",,,
,JCC,"It was paradise. It was paradise because the acequias flowed. That's why its name Cottonwood Lane, because there were cottonwoods along the the road, the where the acequias were flowing, and a lot of a lot of trees and and the neighbors helped, like from Barrio Santa Cruz, there was señor Bob Ormsby that we would call and he would go open the well water flow so we could all water. You've made the story of señora Olga Leon as well. ",,,
,AA,Yes.,,,
,JCC,So they're all neighbors there with mom and dad. So.,,,
,AA,"So you'd call up Ormsby, and he'd open the well waters, huh?",,,
,JCC,Sí.,,,
,AA,"So do you, was there like in your family's property? What were you growing?",,,
,JCC,"Our food. Because that one side, my dad had all his fruit trees. The other type would be the garden seasonal.",,,
,AA,So you really were growing a lot of your own food?,,,
,JCC,"Sí, our own food. Everyone grew their own fruit during the those times, it was so interesting that mom wanted to go shopping, and it was in South Tucson, and I said, why would you need to go shopping? If dad is a butcher, he has his other meat, he has his our crops, and she would go buy canned food. As a child, we would always struggle about that. Why mom? No.",,,
,AA,"Did she feel like she's doing the futuristic thing that, like, you know you're supposed to do?",,,
,JCC,"It was so confusing as as a child, and it was at TNT market she would go and there the Asian, Chinese family had an IOU for her. So since dad was, um, was was disabled, because being a horse jockey, he had got hurt, and so he was disabled, so his check would come monthly. So mom would would put it all in for her grocery shopping.",,,
,AA,That's amazing. So she knew the family at the TNT market?,,,
,JCC,"Yes, yes.",,,
,AA,"Can you describe what the market looked like? I'm always curious, because these things are gone. You know what was like? The look or the feel of the market? Because it sounds like this is a place you might have gone a few times.",,,
