timestamp,speaker,words,tags,highlight,timelink
[0:00],Melissa Berry,"This is Melissa Berry and John Moreno interviewing Juan Soto. Juan, could you please state and spell your name for us? ",,,0
[0:07],Juan Soto,"My name is Juan Soto, J, U, A, N, S, O, T, O. My brother started playing on the team. His name is Frank. Everybody knew him as Tarzan. That was his nickname, and he started playing on the team roughly, maybe 1965 and I think the Hawks originated in '58. My brother joined in '65-- he went in fresh out of high school, and I was in fifth grade, sixth grade, and I kind of became the bat boy, because he take me to the games all the time. So, you know, I'm hanging around and so on. And by the time I turned 15, they had-- the city had-- a rule that you cannot play men's softball until you were minimum 15 years old. So as soon as I turned 15, they put me on the roster, and so I started playing with the Hawks, and I stayed playing fast pitch till the age of 45 with the Hawks.",,,7
,John Moreno,Can I ask a question? Did you play Little League before that?,,,65
,JS,"I did play Little League. Matter of fact, here at Rodeo Park, we live right down the street here, and my mom... let me remember, we walked to the park when they're doing the groundbreaking ceremonies for Rodeo Park, which is now Rudy Garcia Park, yeah, it used to be Joe Garagiola Park, right? But everybody calls it Rodeo still. But I was actually there for the ground-- groundbreaking ceremonies, and they were going to start a new Little League called the American Little League. And so, yeah, I was there at the very, very first year of Little League. Wow.",,,69
,JM,"Wow, so you had some ball experience here.",,,98
,JS,"Yeah, yeah, yeah. And that was, again, around '64, '65. Yeah. So I played with the Hawks until, you know, I was a youngest for many years, and then I became the oldest for many years, and I started playing when I-- it was, some of these guys I was playing with, eventually I'm playing with their sons, because we started getting now another generation of Hawks from the same families, you know, and, and so the Hawks continued to play after I'd retired from fastpitch, and I had to wait five years before I could start playing Senior League. Because [in] Senior you have to be 50 years old. So between 45 and 50, you know, I played some ball here and ball games here and there, but I didn't get into another league, and the team I got into were the Hawks, because now we had a Senior League team and fastpitch team. ",,,100
,JS,"So the Senior League is slowpitch right? So we had fastpitch Hawks and slowpitch Hawks. So I started with the slowpitch Hawks when I was 50, and I am now 71 so I've been with them for 21 years. So if you add, what is it, 35 and 21 or whatever, I have about 50 years playing with the Hawks and, and, I was going to start off as saying, because you can tell a lot of this is obvious. How important has that experience been to me? And I'll tell you, it made me very much the man I am today. That's how important it is. Yeah. So right now, we changed our name a few years ago to the Gavilanes, which means Hawks, okay? So our slowpitch, we call-- and the reason we retired the name Hawks is because when the fastpitch team finally retired, they stopped having fastpitch, we decided, instead of being called the Hawks, to honor the fastpitch retirement, we changed our name to Gavilanes. A gavilan is a hawk, and so our shirt says Gavilanes. Right now, combined, we are in year 67 of the softball team, you figure for, from 1958 to 2025, non stop.",,,153
,MB,"Was it ever a decision for you to continue playing, or was it just part of your life already, you didn't even think of it?",,,230
,JS,"Well, I wanted to keep playing. I loved it, you know. And I'll tell you, yesterday, I was having lunch with uh, not--.he didn't play with the Hawkss, but he played a lot of fastpitch, and, and I said-- he stopped many years ago-- and I said, do you still-- Charlie. Charlie, do you still, when you drive up 22nd and you take a peek, do you take kind of, kind of like, a little extra long look at the softball field, and do you reminisce a little bit as you drive by? I do, right? Because, yeah, you know. So, I think that's a lot of us, you know, because it was so important to us, and some of the best memories in our life, the commarad-- camaraderie, you know, somebody becoming family, but like, good friends, yeah, with teams-- other teams, you know, not just our team. But, the friendships-- it was so, so vital to my life. And so, yeah, I drive by and I take that extra long look, and, and, yeah, there's that reminiscing. And I'm sure there's many of us that do the same thing, you know. So I asked Charlie yesterday, he says, yeah, he does, yep. Lot of memories. So, you know.",,,237
,JM,"Excuse me for interrupting, do you-- did you play a majority of your games at Santa Rita, or did you play like a mixture of-- ",,,244
,JS,Well--,,,
,JM,Rodeo Park?,,,
,JS,We worked our way up to Santa Rita.,,,
,JM,Okay. ,,,
,JS,"Okay, when the Hawks started, we were not playing double A, triple A ball. ",,,
,JM,"Oh, okay. ",,,
,JS,"Okay, so we might have played a season at Freedom or a season at Jacobs field, whatever, but you had to earn your right to be at those higher levels. And so we eventually got to Santa Rita field number one. You know, Santa Rita was a goal for all teams. That's kind of, you made it as a skilled, really highly skilled team.",,,
,JM,They won't let you play there unless you qualify. ,,,
,JS,"Exactly. Yeah, 'cause the city made the schedules out, you know. And I will tell you, our team-- oh, my god, we would end up, sometimes, 28 and 0 for the season, 27 and 0 for the season, 29 and 0 for the season. ",,,
,JM,Really?,,,
,JS,"Yes. You know, and you know, we're all, mostly all blue color and everything. We didn't know a lot or didn't have the money, because we all just sponsored ourselves. We never had an organization sponsor us. One year, one year T & T market in South Tucson, one year, because they bought us shirts and put T & T market on the back. I think that's the only year, yeah. ",,,
